TLID,NAME,LENGTH
62101806,62101806a,130.20113
62058038,62058038a,146.28617
62058042,62058042a,98.55951
62058043,62058043b,146.28702
62058044,62058044b,28.15993
62058572,62058572a,76.89546
62058573,62058573b,262.15781
62058574,62058574b,84.78724
62072248,62072248b,128.48783
62064816,62064816a,98.54925
62064831,62064831b,79.43984
62064834,62064834b,368.72128
62094218,62094218b,131.49888
62073721,62073721b,138.04455
62072444,62072444a,105.73152
62072449,62072449a,142.3317
62072459,62072459b,206.52208
62072460,62072460b,400.24774
62063436,62063436b,33.30358
62094212,62094212a,96.43422
62094214,62094214b,116.37475
62078696,62078696a,42.1654
62078697,62078697b,41.54686
62083797,62083797a,46.41036
62064813,62064813a,125.31096
62064830,62064830a,75.13435
62064832,62064832b,308.54001
62078694,62078694b,19.95446
62078697,62078697a,41.54686
62078698,62078698a,59.47622
62063418,62063418a,61.99794
62073410,62073410a,146.34656
62073411,62073411b,289.62036
62073413,62073413a,149.20598
62063415,62063415a,164.79015
62063429,62063429b,68.81891
62063436,62063436a,33.30358
62094004,62094004b,147.27175
62072458,62072458a,437.26254
62072461,62072461b,103.79115
62072462,62072462a,72.66886
62078930,62078930b,103.30657
62068706,62068706a,225.98493
62068707,62068707a,136.34392
62068709,62068709b,177.21702
62081793,62081793a,46.78214
62083747,62083747b,72.90562
62072752,62072752b,116.18202
62089786,62089786a,223.25488
62089787,62089787a,145.55633
62072743,62072743b,53.09494
62056647,62056647a,77.70748
62056649,62056649b,159.22849
62056651,62056651b,223.59164
62052950,62052950a,154.39058
62098210,62098210b,177.60402
62056188,62056188b,186.92216
62056227,62056227a,135.4718
62056232,62056232a,207.70983
62051826,62051826a,110.11845
62051831,62051831b,138.78068
62104533,62104533b,23.48507
62057131,62057131b,150.30163
62056296,62056296a,347.40307
62056305,62056305b,223.43671
62056306,62056306b,156.52222
62056307,62056307a,173.85259
62056646,62056646a,92.53046
62056647,62056647b,77.70748
62056648,62056648b,295.85397
62056666,62056666b,358.35516
62053032,62053032b,70.36712
62080155,62080155a,569.67054
62090275,62090275b,617.70754
62096606,62096606a,281.93735
62078774,62078774b,133.4339
62055448,62055448b,124.00046
62055455,62055455b,98.5305
62055456,62055456a,84.45469
62055458,62055458a,62.00031
62084915,62084915b,372.83763
62097743,62097743a,68.78505
62057304,62057304a,310.94766
62057350,62057350a,187.06617
62057351,62057351b,140.41315
62057352,62057352b,178.45884
62058671,62058671a,194.74556
62058715,62058715b,77.57837
62076719,62076719a,84.44006
62057130,62057130b,37.06988
62076644,62076644a,141.86618
62067994,62067994a,168.53056
62068009,62068009b,168.53059
